T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
15,24,7.6,1017.4,81,0.6,2.2,7.6,284.79583333333335
16.3,24,12,1017.2,80,0.8,1.3,9.4,219.72083333333333
18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,182.1875
14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,154.03750000000002
14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,223.20833333333334
14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,200.64583333333337
17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,285.22499999999997
18.1,26.7,10.2,1013.8,61,2.6,5,11.1,236.82499999999996
18.3,23.2,12.7,1011.2,75,1.9,10,22.2,276.90833333333336
16.4,22,11.2,1015.5,81,1.6,5.9,18.3,108.0
16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,107.625
19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,125.89166666666667
17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,181.01250000000005
17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,152.55416666666667
20.4,28.4,15.2,1014.7,62,2.4,5,14.8,152.32083333333335
18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,251.375
19,26.8,11.7,1016.3,58,2.6,16.7,29.4,251.82916666666668
18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,319.7375
22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,166.29999999999998
22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,78.25416666666666
24,33.8,13.6,1009.7,53,1.9,4.6,18.3,54.958333333333336
23.8,33,14.9,1010.4,64,1.9,3.9,11.1,211.125
22.6,33,18.1,1013.1,67,2.1,11.3,22.2,192.29166666666666
23,30,14.4,1016.1,55,2.7,6.7,14.8,152.0
24.6,31.7,17.9,1008.5,68,2.3,14.1,27.8,0.0
27.1,34.8,17.7,1009.7,52,1.6,6.1,11.1,0.0
26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,0.0
23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,119.33333333333333
23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,67.125
23.8,30.9,16.7,1009,52,1.6,6.5,13,46.708333333333336
24.7,31.5,17,1008.6,57,2.1,7.6,14.8,81.04166666666667
25.6,33.8,17.9,1008.7,47,2.1,4.4,13,21.208333333333332
25.7,36,17.8,1009,50,1.8,9.3,14.8,1.9166666666666667
25.1,36,18.3,1009.5,56,2.7,9.1,18.3,1.8333333333333333
29.5,37,18.5,1005.2,30,1.9,10.6,22.2,105.83333333333333
29.2,37.5,20,1006.1,38,2.6,5.9,14.8,117.58333333333333
31.1,37.8,21.7,1005.6,34,1.8,8.1,27.8,122.70833333333333
29.8,36.6,21.4,1007.8,37,1.9,8.1,18.3,111.95833333333333
28.2,36.6,21.9,1007.1,45,1.9,6.5,16.5,59.208333333333336
28.3,36.4,20.1,1004,47,1.9,6.3,14.8,77.20833333333333
29.3,37.9,20.3,1002.9,35,2.3,4.4,11.1,98.70833333333333
30.5,38.6,20.7,1003.4,36,1.9,7.6,14.8,123.70833333333333
28,38.6,23.8,1007.3,48,2.3,15.6,25.9,64.79166666666667
31.1,38.5,23.2,1007.7,45,1.9,3.7,7.6,52.333333333333336
29.9,38.5,24.3,1008.3,53,1.9,6.7,22.2,52.041666666666664
31.4,37.8,22,1006.9,38,2.3,13.7,22.2,128.33333333333334
31.4,39.2,22.8,1002.9,24,1.9,11.5,25.9,0.0
29.9,38.8,21.7,1000.8,29,1.9,12,24.1,23.208333333333332
29.7,38.3,21.6,999.3,35,1.9,10.2,22.2,15.166666666666666
32.8,40.8,25.3,1002,36,1.8,7.2,24.1,89.0
34.1,42,23.7,1001.4,29,1.9,9.3,18.3,81.83333333333333
34.1,42,26.8,1000.8,32,1.9,7.8,14.8,105.33333333333333
30.9,37.6,23.2,1003.7,44,1.9,3.5,11.1,87.375
32.9,39.8,24.7,1001,38,1.9,5.6,13,84.5
30.6,37.4,24.8,1000.8,47,1.9,2.2,7.6,46.916666666666664
36.2,44.6,25.9,999.2,29,1.9,15,27.8,77.04166666666667
36.2,44.6,29.2,999.1,32,1.9,10.6,18.3,110.875
36.8,45.1,28,999.1,26,1.9,12,25.9,42.958333333333336
37.7,45,30.5,998.1,32,1.9,10,22.2,106.95833333333333
36.2,43.6,29.3,998.4,32,2.3,8.1,20.6,120.875
35.6,42.6,30.2,999.3,41,1.9,8.1,20.6,79.91666666666667
33.6,40.6,24.8,998.8,47,1.9,10.6,18.3,38.5
31.9,40.6,26.7,1002,61,1.9,13.5,20.6,94.75
32.4,38.5,26.6,1001,63,2.3,13.3,22.2,142.5
34.1,40.3,28.8,999.7,59,1.9,10.9,16.5,133.375
34.1,43.2,25.7,997.9,57,1.9,7.4,14.8,147.83333333333334
34.2,39.8,29.1,996.7,64,1.9,13.7,18.3,158.29166666666666
35.1,40.2,30.2,995.2,52,1.9,8.5,14.8,149.58333333333334
30.3,39.2,28.8,998.6,75,1.9,10.2,22.2,101.5
30.4,38.6,27.8,997.7,73,1.9,8,22.2,106.5
29.8,38.6,24.6,997.9,71,2.3,12.6,16.5,128.125
29.7,35.5,24.8,999,76,1.9,4.3,14.8,101.95833333333333
33,38.4,25.3,997.6,58,1.8,4.8,13,98.41666666666667
35.6,41,27.3,995.5,49,1.9,7.4,18.3,94.375
